team,spell_no,manager,start_date,end_date,matches,stand_in_matches,first_season,last_season,change_timing
Leicester,12,Ruud van Nistelrooy,2024-12-03,2025-05-25,25,0,2024/25,2024/25,mid_season
Liverpool,1,Brendan Rodgers,2014-08-17,2015-10-04,46,0,2014/15,2015/16,
Liverpool,2,Jürgen Klopp,2015-10-17,2024-05-19,334,0,2015/16,2023/24,mid_season
Liverpool,3,Arne Slot,2024-08-17,2026-05-24,76,0,2024/25,2025/26,between_seasons
Luton,1,Rob Edwards,2023-08-12,2024-05-19,38,0,2023/24,2023/24,
Man City,1,Manuel Pellegrini,2014-08-17,2016-05-15,76,0,2014/15,2015/16,
Man City,2,Pep Guardiola,2016-08-13,2026-05-24,380,0,2016/17,2025/26,between_seasons
Man United,1,Louis van Gaal,2014-08-16,2016-05-17,76,0,2014/15,2015/16,
Man United,2,José Mourinho,2016-08-14,2018-12-16,93,0,2016/17,2018/19,between_seasons
Man United,3,Ole Gunnar Solskjær,2018-12-22,2021-11-20,109,0,2018/19,2021/22,mid_season
Man United,4,Michael Carrick,2021-11-28,2021-12-02,2,0,2021/22,2021/22,mid_season
Man United,5,Ralf Rangnick,2021-12-05,2022-05-22,24,0,2021/22,2021/22,mid_season
Man United,6,Erik ten Hag,2022-08-07,2024-10-27,85,0,2022/23,2024/25,between_seasons
Man United,7,Ruud van Nistelrooy,2024-11-03,2024-11-10,2,0,2024/25,2024/25,mid_season
Man United,8,Rúben Amorim,2024-11-24,2026-01-04,47,0,2024/25,2025/26,mid_season
Man United,9,Darren Fletcher,2026-01-07,2026-01-07,1,0,2025/26,2025/26,mid_season
Man United,10,Michael Carrick,2026-01-17,2026-05-24,17,0,2025/26,2025/26,mid_season
Middlesbrough,1,Aitor Karanka,2016-08-13,2017-03-04,27,0,2016/17,2016/17,
Middlesbrough,2,Steve Agnew,2017-03-19,2017-05-21,11,0,2016/17,2016/17,mid_season
Newcastle,1,Alan Pardew,2014-08-17,2014-12-28,19,0,2014/15,2014/15,
Newcastle,2,John Carver,2015-01-01,2015-05-24,19,0,2014/15,2014/15,mid_season
Newcastle,3,Steve McClaren,2015-08-09,2016-03-05,28,0,2015/16,2015/16,between_seasons
Newcastle,4,Rafael Benítez,2016-03-14,2019-05-12,86,0,2015/16,2018/19,mid_season
Newcastle,5,Steve Bruce,2019-08-11,2021-10-17,84,0,2019/20,2021/22,between_seasons
Newcastle,6,Graeme Jones,2021-10-23,2021-11-06,3,0,2021/22,2021/22,mid_season
Newcastle,7,Eddie Howe,2021-11-20,2026-05-24,179,0,2021/22,2025/26,mid_season
Norwich,1,Alex Neil,2015-08-08,2016-05-15,38,0,2015/16,2015/16,
Norwich,2,Daniel Farke,2019-08-09,2021-11-06,49,0,2019/20,2021/22,between_seasons
Norwich,3,Dean Smith,2021-11-20,2022-05-22,27,0,2021/22,2021/22,mid_season
Nott'm Forest,1,Steve Cooper,2022-08-06,2023-12-15,55,0,2022/23,2023/24,
Nott'm Forest,2,Nuno Espírito Santo,2023-12-23,2025-08-31,62,2,2023/24,2025/26,mid_season
Nott'm Forest,3,Ange Postecoglou,2025-09-13,2025-10-18,5,0,2025/26,2025/26,mid_season
Nott'm Forest,4,Sean Dyche,2025-10-26,2026-02-11,18,0,2025/26,2025/26,mid_season
Nott'm Forest,5,Vítor Pereira,2026-02-22,2026-05-24,12,0,2025/26,2025/26,mid_season
QPR,1,Harry Redknapp,2014-08-16,2015-01-31,23,0,2014/15,2014/15,
QPR,2,Chris Ramsey,2015-02-07,2015-05-24,15,0,2014/15,2014/15,mid_season
Sheffield United,1,Chris Wilder,2019-08-10,2021-03-06,66,0,2019/20,2020/21,
Sheffield United,2,Paul Heckingbottom,2021-03-14,2023-12-02,24,0,2020/21,2023/24,mid_season
Sheffield United,3,Chris Wilder,2023-12-06,2024-05-19,24,0,2023/24,2023/24,mid_season
Southampton,1,Ronald Koeman,2014-08-17,2016-05-15,76,0,2014/15,2015/16,
Southampton,2,Claude Puel,2016-08-13,2017-05-21,38,0,2016/17,2016/17,between_seasons
Southampton,3,Mauricio Pellegrino,2017-08-12,2018-03-10,30,0,2017/18,2017/18,between_seasons
Southampton,4,Mark Hughes,2018-03-31,2018-12-01,22,0,2017/18,2018/19,mid_season
Southampton,5,Kelvin Davis,2018-12-05,2018-12-05,1,0,2018/19,2018/19,mid_season
