event_idx,group,relative_match,points,team,season,manager,appointment_type
657,Changed manager,-9,0.0,Aston Villa,2022/23,Aaron Danks,caretaker
2106,Changed manager,-9,0.0,Chelsea,2015/16,Steve Holland,caretaker
2299,Changed manager,-9,3.0,Chelsea,2020/21,Thomas Tuchel,permanent
2384,Changed manager,-9,1.0,Chelsea,2022/23,Bruno Saltor,caretaker
2489,Changed manager,-9,3.0,Chelsea,2025/26,Calum McFarlane,caretaker
2526,Changed manager,-9,0.0,Crystal Palace,2014/15,Keith Millen,caretaker
2601,Changed manager,-9,0.0,Crystal Palace,2016/17,Sam Allardyce,permanent
2839,Changed manager,-9,1.0,Crystal Palace,2022/23,Patrick McCarthy,caretaker
2874,Changed manager,-9,0.0,Crystal Palace,2023/24,Ray Lewington,caretaker
3169,Changed manager,-9,0.0,Everton,2019/20,Duncan Ferguson,caretaker
3249,Changed manager,-9,1.0,Everton,2021/22,Duncan Ferguson,caretaker
3288,Changed manager,-9,3.0,Everton,2022/23,Sean Dyche,permanent
3363,Changed manager,-9,1.0,Everton,2024/25,David Moyes,permanent
3432,Changed manager,-9,1.0,Fulham,2018/19,Claudio Ranieri,permanent
3448,Changed manager,-9,3.0,Fulham,2018/19,Scott Parker,permanent
3708,Changed manager,-9,0.0,Huddersfield,2018/19,Mark Hudson,caretaker
3782,Changed manager,-9,0.0,Hull,2016/17,Marco Silva,permanent
3902,Changed manager,-9,0.0,Leeds,2021/22,Jesse Marsch,permanent
3934,Changed manager,-9,3.0,Leeds,2022/23,Michael Skubala,caretaker
4091,Changed manager,-9,1.0,Leicester,2016/17,Craig Shakespeare,caretaker_made_permanent
4169,Changed manager,-9,3.0,Leicester,2018/19,Mike Stowell,caretaker
4322,Changed manager,-9,1.0,Leicester,2022/23,Adam Sadler,caretaker
4344,Changed manager,-9,1.0,Leicester,2024/25,Ben Dawson,caretaker
5489,Changed manager,-9,1.0,Man United,2018/19,Ole Gunnar Solskjær,permanent
5598,Changed manager,-9,3.0,Man United,2021/22,Michael Carrick,caretaker
5758,Changed manager,-9,0.0,Man United,2025/26,Darren Fletcher,caretaker
5803,Changed manager,-9,0.0,Middlesbrough,2016/17,Steve Agnew,caretaker
5833,Changed manager,-9,3.0,Newcastle,2014/15,John Carver,caretaker_made_permanent
5880,Changed manager,-9,0.0,Newcastle,2015/16,Rafael Benítez,permanent
6319,Changed manager,-9,0.0,Norwich,2021/22,Dean Smith,permanent
6401,Changed manager,-9,1.0,Nott'm Forest,2023/24,Nuno Espírito Santo,permanent
