season,team,points,points_prev,d_points,expected_d_points,beat_model_by,spend_eur_m,spend_rel,signings,paid_signings,new_manager,xgd_pg
2023/24,Nott'm Forest,36,38,-2,-1.2,-0.8,123.0,0.88,14.0,9.0,No,-0.11
2024/25,Nott'm Forest,65,36,29,10.8,18.2,105.5,0.9,11.0,9.0,No,-0.08
2025/26,Nott'm Forest,44,65,-21,-11.8,-9.2,233.9,1.32,14.0,10.0,No,-0.42
2020/21,Sheffield United,23,54,-31,-5.5,-25.5,36.7,0.64,7.0,5.0,No,-0.87
2015/16,Southampton,63,60,3,-0.1,3.1,51.7,1.19,5.0,5.0,No,0.31
2016/17,Southampton,46,63,-17,0.4,-17.4,51.9,0.98,4.0,4.0,Yes,0.18
2017/18,Southampton,36,46,-10,11.4,-21.4,39.2,0.58,3.0,3.0,Yes,-0.12
2018/19,Southampton,39,36,3,10.7,-7.7,62.2,0.98,5.0,4.0,No,-0.25
2019/20,Southampton,52,39,13,5.8,7.2,57.5,0.79,4.0,3.0,No,-0.0
2020/21,Southampton,43,52,-9,-1.8,-7.2,25.3,0.44,4.0,2.0,No,-0.35
2021/22,Southampton,40,43,-3,1.4,-4.4,63.4,1.0,5.0,4.0,No,-0.45
2022/23,Southampton,25,40,-15,1.8,-16.8,91.0,0.79,10.0,8.0,No,-0.62
2015/16,Stoke,51,54,-3,-3.4,0.4,25.6,0.59,4.0,3.0,No,-0.31
2016/17,Stoke,44,51,-7,-6.0,-1.0,19.1,0.36,3.0,2.0,No,-0.02
2017/18,Stoke,33,44,-11,3.8,-14.8,7.7,0.11,3.0,1.0,No,-0.76
2015/16,Sunderland,39,38,1,3.1,-2.1,2.8,0.06,2.0,1.0,No,-0.48
2016/17,Sunderland,24,39,-15,6.1,-21.1,16.2,0.31,5.0,3.0,Yes,-0.83
2015/16,Swansea,47,56,-9,-12.2,3.2,1.2,0.03,3.0,2.0,No,-0.36
2016/17,Swansea,41,47,-6,-3.9,-2.1,8.1,0.15,3.0,2.0,No,-0.67
2017/18,Swansea,33,41,-8,-4.3,-3.7,0.0,0.0,3.0,0.0,No,-0.85
2015/16,Tottenham,70,64,6,-11.3,17.3,65.0,1.49,4.0,4.0,No,0.69
2016/17,Tottenham,86,70,16,-4.2,20.2,57.0,1.08,3.0,2.0,No,0.95
2017/18,Tottenham,77,86,-9,-13.1,4.1,77.5,1.14,4.0,3.0,No,0.87
2018/19,Tottenham,71,77,-6,-9.6,3.6,0.0,0.0,0.0,0.0,No,0.33
2019/20,Tottenham,59,71,-12,-10.1,-1.9,100.0,1.38,4.0,3.0,No,-0.13
2020/21,Tottenham,62,59,3,-6.9,9.9,95.4,1.67,5.0,4.0,No,0.11
2021/22,Tottenham,71,62,9,-1.9,10.9,66.9,1.05,5.0,3.0,Yes,0.64
2022/23,Tottenham,60,71,-11,-4.9,-6.1,173.7,1.51,8.0,5.0,No,0.16
2023/24,Tottenham,66,60,6,2.2,3.8,247.1,1.77,9.0,8.0,Yes,0.14
2024/25,Tottenham,38,66,-28,-9.1,-18.9,154.8,1.32,5.0,4.0,No,-0.08
2025/26,Tottenham,41,38,3,15.2,-12.2,205.6,1.16,8.0,6.0,Yes,-0.23
2016/17,Watford,40,45,-5,6.3,-11.3,44.4,0.84,5.0,4.0,Yes,-0.43
2017/18,Watford,41,40,1,6.8,-5.8,43.9,0.65,9.0,4.0,Yes,-0.21
2018/19,Watford,50,41,9,3.8,5.2,23.4,0.37,6.0,5.0,No,-0.3
2019/20,Watford,34,50,-16,-4.8,-11.2,36.0,0.5,4.0,2.0,No,-0.29
2015/16,West Brom,43,44,-1,-1.1,0.1,25.3,0.58,3.0,2.0,No,-0.32
2016/17,West Brom,45,43,2,0.5,1.5,19.9,0.38,2.0,2.0,No,-0.25
2017/18,West Brom,31,45,-14,0.2,-14.2,36.1,0.53,4.0,3.0,No,-0.36
2015/16,West Ham,62,47,15,3.3,11.7,26.5,0.61,6.0,3.0,Yes,-0.03
2016/17,West Ham,45,62,-17,-9.3,-7.7,49.6,0.94,7.0,4.0,No,-0.3
2017/18,West Ham,42,45,-3,-0.9,-2.1,25.3,0.37,3.0,2.0,No,-0.57
2018/19,West Ham,52,42,10,5.0,5.0,99.4,1.56,7.0,6.0,Yes,-0.47
2019/20,West Ham,39,52,-13,-7.4,-5.6,89.3,1.23,3.0,3.0,No,-0.51
2020/21,West Ham,65,39,26,0.6,25.4,16.2,0.28,1.0,1.0,No,0.28
2021/22,West Ham,56,65,-9,-6.7,-2.3,67.3,1.06,5.0,3.0,No,0.03
2022/23,West Ham,40,56,-16,-2.0,-14.0,184.6,1.61,8.0,8.0,No,-0.11
2023/24,West Ham,52,40,12,7.7,4.3,137.6,0.99,5.0,5.0,No,-0.62
2024/25,West Ham,43,52,-9,-4.7,-4.3,144.4,1.23,9.0,5.0,Yes,-0.46
2025/26,West Ham,39,43,-4,-0.8,-3.2,143.8,0.81,8.0,5.0,No,-0.49
2019/20,Wolves,59,57,2,0.4,1.6,97.1,1.34,7.0,6.0,No,0.44
2020/21,Wolves,45,59,-14,1.8,-15.8,84.6,1.48,6.0,5.0,No,-0.36
2021/22,Wolves,51,45,6,3.3,2.7,26.3,0.41,7.0,4.0,Yes,-0.51
2022/23,Wolves,41,51,-10,-7.3,-2.7,139.0,1.21,6.0,5.0,No,-0.73
2023/24,Wolves,46,41,5,1.4,3.6,94.0,0.67,8.0,5.0,Yes,-0.67
2024/25,Wolves,42,46,-4,-7.2,3.2,63.9,0.55,7.0,5.0,No,-0.43
2025/26,Wolves,20,42,-22,0.3,-22.3,117.5,0.66,7.0,6.0,No,-0.79
