team,manager,spell_no,start_date,end_date,matches,ppg,xgd_per_game,appointment_type,change_timing,prev_departure,position_at_vacancy
Newcastle,Rafael Benítez,4,2016-03-14,2019-05-12,86,1.19,-0.29,permanent,mid_season,sacked,19th
Newcastle,Steve Bruce,5,2019-08-11,2021-10-17,84,1.1,-0.63,permanent,between_seasons,end_of_contract,Pre-season
Newcastle,Graeme Jones,6,2021-10-23,2021-11-06,3,0.67,-1.58,caretaker,mid_season,mutual_consent,19th
Newcastle,Eddie Howe,7,2021-11-20,2026-05-24,179,1.62,0.38,permanent,mid_season,end_of_caretaker,19th
Norwich,Alex Neil,1,2015-08-08,2016-05-15,38,0.89,-0.52,first spell in data,,,
Norwich,Daniel Farke,2,2019-08-09,2021-11-06,49,0.53,-0.96,appointed_outside_pl,between_seasons,,
Norwich,Dean Smith,3,2021-11-20,2022-05-22,27,0.63,-1.32,permanent,mid_season,sacked,20th
Nott'm Forest,Steve Cooper,1,2022-08-06,2023-12-15,55,0.95,-0.65,first spell in data,,,
Nott'm Forest,Nuno Espírito Santo,2,2023-12-23,2025-08-31,62,1.47,-0.02,permanent,mid_season,sacked,17th
Nott'm Forest,Ange Postecoglou,3,2025-09-13,2025-10-18,5,0.2,-1.48,permanent,mid_season,sacked,10th
Nott'm Forest,Sean Dyche,4,2025-10-26,2026-02-11,18,1.22,-0.2,permanent,mid_season,sacked,18th
Nott'm Forest,Vítor Pereira,5,2026-02-22,2026-05-24,12,1.42,-0.34,permanent,mid_season,sacked,17th
QPR,Harry Redknapp,1,2014-08-16,2015-01-31,23,0.83,-0.21,first spell in data,,,
QPR,Chris Ramsey,2,2015-02-07,2015-05-24,15,0.73,-0.98,caretaker_made_permanent,mid_season,resigned,19th
Sheffield United,Chris Wilder,1,2019-08-10,2021-03-06,66,1.03,-0.38,first spell in data,,,
Sheffield United,Paul Heckingbottom,2,2021-03-14,2023-12-02,24,0.58,-1.63,caretaker_made_permanent,mid_season,sacked,20th
Sheffield United,Chris Wilder,3,2023-12-06,2024-05-19,24,0.46,-0.82,permanent,mid_season,sacked,20th
Southampton,Ronald Koeman,1,2014-08-17,2016-05-15,76,1.62,0.37,first spell in data,,,
Southampton,Claude Puel,2,2016-08-13,2017-05-21,38,1.21,0.18,permanent,between_seasons,left_for_new_job,Pre-season
Southampton,Mauricio Pellegrino,3,2017-08-12,2018-03-10,30,0.93,-0.23,permanent,between_seasons,sacked,Pre-season
Southampton,Mark Hughes,4,2018-03-31,2018-12-01,22,0.77,-0.09,permanent,mid_season,sacked,17th
Southampton,Kelvin Davis,5,2018-12-05,2018-12-05,1,0.0,0.09,caretaker,mid_season,,
Southampton,Ralph Hasenhüttl,6,2018-12-08,2022-11-06,151,1.17,-0.28,permanent,mid_season,sacked,18th
Southampton,Nathan Jones,7,2022-11-12,2023-02-11,8,0.38,-0.45,permanent,mid_season,sacked,18th
Southampton,Rubén Sellés,8,2023-02-18,2023-05-28,16,0.63,-0.9,permanent,mid_season,sacked,20th
Southampton,Russell Martin,9,2024-08-17,2024-12-15,16,0.31,-1.39,appointed_outside_pl,between_seasons,,
Southampton,Simon Rusk,10,2024-12-22,2024-12-22,1,1.0,-0.97,caretaker,mid_season,sacked,20th
Southampton,Ivan Juric,11,2024-12-26,2025-04-06,14,0.29,-1.91,permanent,mid_season,end_of_caretaker,20th
Southampton,Simon Rusk,12,2025-04-12,2025-05-25,7,0.29,-1.38,caretaker,mid_season,mutual_consent,20th
Stoke,Mark Hughes,1,2014-08-16,2018-01-01,136,1.24,-0.22,first spell in data,,,
Stoke,Eddie Niedzwiecki,2,2018-01-15,2018-01-15,1,0.0,-0.47,caretaker,mid_season,,
Stoke,Paul Lambert,3,2018-01-20,2018-05-13,15,0.87,-0.75,permanent,mid_season,sacked,18th
Sunderland,Gustavo Poyet,1,2014-08-16,2015-03-14,29,0.9,-0.41,first spell in data,,,
Sunderland,Dick Advocaat,2,2015-03-21,2015-10-03,17,0.88,-0.62,permanent,mid_season,sacked,17th
Sunderland,Sam Allardyce,3,2015-10-17,2016-05-15,30,1.2,-0.33,permanent,mid_season,resigned,19th
Sunderland,David Moyes,4,2016-08-13,2017-05-21,38,0.63,-0.83,permanent,between_seasons,left_for_new_job,Pre-season
Sunderland,Régis Le Bris,5,2025-08-16,2026-05-24,38,1.42,-0.45,appointed_outside_pl,between_seasons,,
Swansea,Garry Monk,1,2014-08-16,2015-12-05,53,1.32,-0.34,first spell in data,,,
Swansea,Alan Curtis,2,2015-12-12,2016-01-18,7,1.14,-0.34,caretaker_made_permanent,mid_season,sacked,15th
Swansea,Francesco Guidolin,3,2016-01-24,2016-10-01,23,1.26,-0.61,permanent,mid_season,end_of_caretaker,18th
Swansea,Bob Bradley,4,2016-10-15,2016-12-26,11,0.73,-0.77,permanent,mid_season,sacked,17th
Swansea,Alan Curtis,5,2016-12-31,2017-01-03,2,1.5,-0.53,caretaker,mid_season,,
Swansea,Paul Clement,6,2017-01-14,2017-12-18,36,1.06,-0.68,permanent,mid_season,sacked,19th
Swansea,Leon Britton,7,2017-12-23,2017-12-26,2,0.5,-1.75,caretaker,mid_season,,
Swansea,Carlos Carvalhal,8,2017-12-30,2018-05-13,18,1.11,-0.8,permanent,mid_season,sacked,20th
Tottenham,Mauricio Pochettino,1,2014-08-16,2019-11-09,202,1.89,0.5,first spell in data,,,
Tottenham,José Mourinho,2,2019-11-23,2021-04-16,58,1.64,0.01,permanent,mid_season,sacked,14th
Tottenham,Ryan Mason,3,2021-04-21,2021-05-23,6,2.0,0.3,caretaker,mid_season,sacked,7th
Tottenham,Nuno Espírito Santo,4,2021-08-15,2021-10-30,10,1.5,-0.53,permanent,between_seasons,end_of_caretaker,Pre-season
Tottenham,Antonio Conte,5,2021-11-07,2023-03-18,56,1.88,0.66,permanent,mid_season,sacked,8th
Tottenham,Cristian Stellini,6,2023-04-03,2023-04-23,4,1.0,-0.58,caretaker,mid_season,mutual_consent,4th
Tottenham,Ryan Mason,7,2023-04-27,2023-05-28,6,1.17,0.16,caretaker,mid_season,sacked,5th
Tottenham,Ange Postecoglou,8,2023-08-13,2025-05-25,76,1.37,0.03,permanent,between_seasons,end_of_caretaker,Pre-season
Tottenham,Thomas Frank,9,2025-08-16,2026-02-10,26,1.12,-0.23,permanent,between_seasons,sacked,Pre-season
Tottenham,Igor Tudor,10,2026-02-22,2026-03-22,5,0.2,-1.0,permanent,mid_season,sacked,16th
Tottenham,Roberto De Zerbi,11,2026-04-12,2026-05-24,7,1.57,0.33,permanent,mid_season,mutual_consent,17th
Watford,Quique Sánchez Flores,1,2015-08-08,2016-05-15,38,1.18,-0.23,first spell in data,,,
Watford,Walter Mazzarri,2,2016-08-13,2017-05-21,38,1.05,-0.43,permanent,between_seasons,mutual_consent,Pre-season
Watford,Marco Silva,3,2017-08-12,2018-01-20,24,1.08,-0.29,permanent,between_seasons,mutual_consent,Pre-season
Watford,Javi Gracia,4,2018-01-31,2019-08-31,56,1.18,-0.25,permanent,mid_season,sacked,10th
