season,date,team,opponent,venue,goals_for,goals_against,points,xg_for,xg_against,head_coach,appointment_type,rolling_ppg_10
2016/17,2017-05-21,Arsenal,Everton,Home,3,1,3,3.35,1.88,Arsène Wenger,first spell in data,2.4
2017/18,2017-08-11,Arsenal,Leicester,Home,4,3,3,2.54,1.46,Arsène Wenger,first spell in data,2.4
2017/18,2017-08-19,Arsenal,Stoke,Away,0,1,0,1.41,0.69,Arsène Wenger,first spell in data,2.4
2017/18,2017-08-27,Arsenal,Liverpool,Away,0,4,0,0.48,3.46,Arsène Wenger,first spell in data,2.1
2017/18,2017-09-09,Arsenal,Bournemouth,Home,3,0,3,2.49,0.58,Arsène Wenger,first spell in data,2.1
2017/18,2017-09-17,Arsenal,Chelsea,Away,0,0,1,1.42,0.76,Arsène Wenger,first spell in data,2.2
2017/18,2017-09-25,Arsenal,West Brom,Home,2,0,3,2.39,0.77,Arsène Wenger,first spell in data,2.2
2017/18,2017-10-01,Arsenal,Brighton,Home,2,0,3,2.48,0.39,Arsène Wenger,first spell in data,2.2
2017/18,2017-10-14,Arsenal,Watford,Away,1,2,0,0.99,1.63,Arsène Wenger,first spell in data,1.9
2017/18,2017-10-22,Arsenal,Everton,Away,5,2,3,3.86,0.81,Arsène Wenger,first spell in data,1.9
2017/18,2017-10-28,Arsenal,Swansea,Home,2,1,3,2.38,0.84,Arsène Wenger,first spell in data,1.9
2017/18,2017-11-05,Arsenal,Man City,Away,1,3,0,0.34,2.15,Arsène Wenger,first spell in data,1.6
2017/18,2017-11-18,Arsenal,Tottenham,Home,2,0,3,2.24,0.59,Arsène Wenger,first spell in data,1.9
2017/18,2017-11-26,Arsenal,Burnley,Away,1,0,3,1.75,0.4,Arsène Wenger,first spell in data,2.2
2017/18,2017-11-29,Arsenal,Huddersfield,Home,5,0,3,4.48,0.48,Arsène Wenger,first spell in data,2.2
2017/18,2017-12-02,Arsenal,Man United,Home,1,3,0,4.24,2.07,Arsène Wenger,first spell in data,2.1
2017/18,2017-12-10,Arsenal,Southampton,Away,1,1,1,0.61,1.22,Arsène Wenger,first spell in data,1.9
2017/18,2017-12-13,Arsenal,West Ham,Away,0,0,1,1.02,0.41,Arsène Wenger,first spell in data,1.7
2017/18,2017-12-16,Arsenal,Newcastle,Home,1,0,3,2.02,0.29,Arsène Wenger,first spell in data,2.0
2017/18,2017-12-22,Arsenal,Liverpool,Home,3,3,1,1.13,2.06,Arsène Wenger,first spell in data,1.8
2017/18,2017-12-28,Arsenal,Crystal Palace,Away,3,2,3,1.84,1.15,Arsène Wenger,first spell in data,1.8
2017/18,2017-12-31,Arsenal,West Brom,Away,1,1,1,0.92,1.39,Arsène Wenger,first spell in data,1.9
2017/18,2018-01-03,Arsenal,Chelsea,Home,2,2,1,1.23,3.08,Arsène Wenger,first spell in data,1.7
2017/18,2018-01-14,Arsenal,Bournemouth,Away,1,2,0,1.01,0.82,Arsène Wenger,first spell in data,1.4
2017/18,2018-01-20,Arsenal,Crystal Palace,Home,4,1,3,3.57,0.5,Arsène Wenger,first spell in data,1.4
2017/18,2018-01-30,Arsenal,Swansea,Away,1,3,0,1.16,2.38,Arsène Wenger,first spell in data,1.4
2017/18,2018-02-03,Arsenal,Everton,Home,5,1,3,3.2,1.49,Arsène Wenger,first spell in data,1.6
2017/18,2018-02-10,Arsenal,Tottenham,Away,0,1,0,0.49,2.64,Arsène Wenger,first spell in data,1.5
2017/18,2018-03-01,Arsenal,Man City,Home,0,3,0,1.3,1.93,Arsène Wenger,first spell in data,1.2
2017/18,2018-03-04,Arsenal,Brighton,Away,1,2,0,0.8,1.48,Arsène Wenger,first spell in data,1.1
2017/18,2018-03-11,Arsenal,Watford,Home,3,0,3,2.38,1.55,Arsène Wenger,first spell in data,1.1
2017/18,2018-04-01,Arsenal,Stoke,Home,3,0,3,3.57,0.34,Arsène Wenger,first spell in data,1.3
2017/18,2018-04-08,Arsenal,Southampton,Home,3,2,3,1.59,2.17,Arsène Wenger,first spell in data,1.5
2017/18,2018-04-15,Arsenal,Newcastle,Away,1,2,0,1.42,0.89,Arsène Wenger,first spell in data,1.5
2017/18,2018-04-22,Arsenal,West Ham,Home,4,1,3,2.07,0.62,Arsène Wenger,first spell in data,1.5
2017/18,2018-04-29,Arsenal,Man United,Away,1,2,0,0.65,1.55,Arsène Wenger,first spell in data,1.5
2017/18,2018-05-06,Arsenal,Burnley,Home,5,0,3,2.92,0.22,Arsène Wenger,first spell in data,1.5
