season,date,team,manager,appointment_type,n_controls,points_before,points_after,points_effect,pts_vs_exp_effect,xg_diff_effect
2021/22,2021-11-07,Tottenham,Antonio Conte,permanent,228,1.5,2.1,0.667982456140351,0.4419170252672638,1.940199736403509
2021/22,2021-11-20,Norwich,Dean Smith,permanent,155,0.5,0.8,-0.2825806451612902,-0.2409600317601157,-0.016462510580645073
2021/22,2021-11-20,Aston Villa,Steven Gerrard,permanent,313,1.0,1.6,0.35750798722044735,0.4018677549572555,0.2805720406389778
2021/22,2021-11-28,Man United,Michael Carrick,caretaker,523,1.3,2.1,0.8131931166347992,0.7856459493051503,0.8328529886042065
2021/22,2022-01-22,Everton,Duncan Ferguson,caretaker,155,0.5,0.6,-0.4825806451612903,-0.6106880482536291,-0.15474923058064516
2021/22,2022-02-05,Watford,Roy Hodgson,permanent,83,0.4,0.8,-0.2759036144578313,-0.1707066866309493,-0.1656531807228916
2021/22,2022-03-05,Leeds,Jesse Marsch,permanent,177,0.7,1.1,0.03389830508474584,-0.08855645052149119,0.710583695141243
2022/23,2022-10-23,Aston Villa,Aaron Danks,caretaker,464,0.9,1.9,0.7116379310344827,0.6840745490020839,-0.2796801328663794
2022/23,2022-11-12,Southampton,Nathan Jones,permanent,297,0.8,0.6,-0.5255892255892256,-0.5552157934550794,-0.24165819158249166
2022/23,2023-02-04,Everton,Sean Dyche,permanent,155,0.5,1.2,0.11741935483870969,0.3424810871264443,0.03560160941935486
2022/23,2023-02-08,Leeds,Michael Skubala,caretaker,464,0.9,1.1,-0.08836206896551713,-0.14311523846898144,-0.5088289328663793
2022/23,2023-03-19,Crystal Palace,Patrick McCarthy,caretaker,155,0.5,1.7,0.6174193548387097,0.20918553794905992,0.8127220694193548
2022/23,2023-04-03,Tottenham,Cristian Stellini,caretaker,431,1.6,1.1,-0.32969837587006956,-0.29912550817674155,-0.07847080944315542
2022/23,2023-04-04,Chelsea,Bruno Saltor,caretaker,523,1.3,0.6,-0.6868068833652009,-0.252238552822989,-0.9259941113957936
2022/23,2023-04-04,Leicester,Adam Sadler,caretaker,297,0.8,0.9,-0.22558922558922556,-0.3732224992657481,0.09647499841750837
2023/24,2023-12-06,Sheffield United,Chris Wilder,permanent,83,0.4,0.8,-0.2759036144578313,-0.2757980025883973,0.8789301792771083
2023/24,2023-12-23,Nott'm Forest,Nuno Espírito Santo,permanent,230,0.6,1.0,-0.03434782608695652,0.1147041653344485,-0.1625445175217391
2023/24,2024-02-19,Crystal Palace,Ray Lewington,caretaker,297,0.8,1.5,0.3744107744107744,0.3128828983152153,0.5707260484175084
2024/25,2024-11-30,Leicester,Ben Dawson,caretaker,464,0.9,0.4,-0.7883620689655172,-0.6474753542395537,0.057874867133620694
2024/25,2024-12-22,Southampton,Simon Rusk,caretaker,83,0.4,0.4,-0.6759036144578313,-0.6718928366951149,-0.6332761807228919
2024/25,2024-12-22,Wolves,Vítor Pereira,permanent,297,0.8,1.3,0.17441077441077446,0.4986632015776339,0.2744516084175084
2024/25,2025-01-14,West Ham,Graham Potter,permanent,468,1.2,1.1,-0.23269230769230756,-0.24847680401957659,0.24943932638888883
2024/25,2025-01-15,Everton,David Moyes,permanent,297,0.8,1.7,0.5744107744107744,0.39379419532901094,0.9244174084175083
2025/26,2025-11-08,Wolves,Jamie Collins,caretaker,25,0.2,0.4,-0.46,-0.2372487844202737,-0.22165605359999996
2025/26,2026-01-04,Chelsea,Calum McFarlane,caretaker,431,1.6,1.8,0.3703016241299304,0.4479400439975916,0.9473390905568444
2025/26,2026-01-07,Man United,Darren Fletcher,caretaker,523,1.4,2.3,0.9131931166347991,0.8915267903984709,0.22081148860420655
2025/26,2026-02-22,Tottenham,Igor Tudor,permanent,177,0.7,0.9,-0.16610169491525423,-0.15833700034335169,-0.581007204858757
2025/26,2026-02-22,Nott'm Forest,Vítor Pereira,permanent,464,0.9,1.6,0.4116379310344829,0.42077395516585187,0.07536676713362075
