team_id,team,season,points,xgd_pg,start,spend_eur,signings,paid_signings,spend_rel,first_coach,last_coach,points_prev,xgd_prev,prev_last_coach,d_points,d_xgd,new_manager,log_spend
2,Aston Villa,2023/24,68,0.06175740789473677,2023,88000000.0,5.0,2.0,0.6316189901991395,140,140,61,-0.10421557894736842,140,7,0.1659729868421052,0,0.48957276739766425
2,Aston Villa,2024/25,66,0.29966165789473687,2024,176200000.0,8.0,8.0,1.5059442920267,140,140,68,0.06175740789473677,140,-2,0.2379042500000001,0,0.9186656263890806
2,Aston Villa,2025/26,65,-0.012619157894736858,2025,37500000.0,6.0,3.0,0.21117540228914136,140,140,66,0.29966165789473687,140,-1,-0.3122808157894737,0,0.19159129494887267
3,Bournemouth,2016/17,46,-0.3414803421052632,2016,13500000.0,3.0,2.0,0.2559921116504854,39,39,42,-0.4016545,39,4,0.060174157894736846,0,0.22792578749323128
3,Bournemouth,2017/18,44,-0.6563323684210526,2017,34300000.0,2.0,2.0,0.5051732390736036,39,39,46,-0.3414803421052632,39,-2,-0.3148520263157894,0,0.40890800059530996
3,Bournemouth,2018/19,45,-0.0950069210526316,2018,56800000.0,3.0,3.0,0.8935664786716064,39,39,44,-0.6563323684210526,39,1,0.5613254473684209,0,0.6384620766272793
3,Bournemouth,2019/20,34,-0.49008684473684216,2019,47760000.0,4.0,3.0,0.6584861436646905,39,39,45,-0.0950069210526316,39,-11,-0.3950799236842106,0,0.5059052246306602
3,Bournemouth,2023/24,48,-0.04611115789473683,2023,129890000.0,9.0,7.0,0.9322839845109797,9,9,39,-0.7241612894736842,51,9,0.6780501315789473,1,0.658702714900883
3,Bournemouth,2024/25,56,0.4901916315789473,2024,111270000.0,8.0,6.0,0.9510012563780416,9,9,48,-0.04611115789473683,9,8,0.5363027894736841,0,0.6683427056069593
3,Bournemouth,2025/26,57,0.2648621842105263,2025,136600000.0,7.0,6.0,0.7692415987385789,9,9,56,0.4901916315789473,9,1,-0.22532944736842098,0,0.5705509794750329
4,Brentford,2022/23,59,0.20457836842105256,2022,48250000.0,8.0,3.0,0.42080200938410284,136,136,46,0.08918744736842106,136,13,0.1153909210526315,0,0.35122150751722825
4,Brentford,2023/24,39,0.10607955263157894,2023,64850000.0,6.0,3.0,0.4654601308456158,136,136,59,0.20457836842105256,136,-20,-0.09849881578947363,0,0.3821692756439262
4,Brentford,2024/25,56,0.16460523684210526,2024,85900000.0,6.0,4.0,0.7341692093365128,136,136,39,0.10607955263157894,136,17,0.05852568421052633,0,0.5505284568364656
4,Brentford,2025/26,53,0.188067447368421,2025,98700000.0,9.0,5.0,0.5558136588250201,69,69,56,0.16460523684210526,136,-3,0.023462210526315724,1,0.4419986620456228
5,Brighton,2018/19,36,-0.6693230789473684,2018,66220000.0,11.0,9.0,1.0417600742541158,23,23,40,-0.4176153815789474,23,-4,-0.251707697368421,0,0.7138122173712288
5,Brighton,2019/20,41,-0.3418891578947369,2019,53340000.0,3.0,3.0,0.7354198262787812,53,53,36,-0.6693230789473684,23,5,0.3274339210526315,1,0.5512493589280926
5,Brighton,2020/21,41,0.3661141052631579,2020,3000000.0,3.0,2.0,0.05247695605667162,53,53,41,-0.3418891578947369,53,0,0.7080032631578947,0,0.05114639185173941
5,Brighton,2021/22,51,0.06200097368421056,2021,34580000.0,5.0,5.0,0.5430830722357024,53,53,41,0.3661141052631579,53,10,-0.30411313157894737,0,0.4337824100625246
5,Brighton,2022/23,62,0.7254974736842105,2022,45700000.0,5.0,4.0,0.3985627322042176,53,111,51,0.06200097368421056,53,11,0.6634964999999999,0,0.3354450894319742
5,Brighton,2023/24,48,0.02561098684210523,2023,97700000.0,7.0,4.0,0.7012406288915446,111,111,62,0.7254974736842105,111,-14,-0.6998864868421052,0,0.5313577666018987
5,Brighton,2024/25,61,0.16191786842105263,2024,231200000.0,9.0,8.0,1.9760177089476338,44,44,48,0.02561098684210523,111,13,0.1363068815789474,1,1.0905860675403833
5,Brighton,2025/26,53,0.12285402631578948,2025,78000000.0,5.0,4.0,0.439244836761414,44,44,61,0.16191786842105263,44,-8,-0.03906384210526315,0,0.3641185571165317
6,Burnley,2017/18,54,-0.5101362894736843,2017,25500000.0,4.0,2.0,0.37556611068154205,125,125,40,-0.5178127105263158,125,14,0.007676421052631555,0,0.31886536324570813
6,Burnley,2018/19,40,-0.5626539236842105,2018,16100000.0,3.0,2.0,0.2532820476516349,125,125,54,-0.5101362894736843,125,-14,-0.05251763421052624,0,0.22576574846958383
6,Burnley,2019/20,54,-0.11821918947368419,2019,12750000.0,2.0,2.0,0.1757893285537019,125,125,40,-0.5626539236842105,125,14,0.4444347342105263,0,0.1619396910422134
6,Burnley,2020/21,39,-0.5507574868421052,2020,0.0,1.0,0.0,0.0,125,125,54,-0.11821918947368419,125,-15,-0.43253829736842103,0,0.0
6,Burnley,2021/22,35,-0.5030849657894736,2021,31900000.0,4.0,3.0,0.5009933488814028,125,88,39,-0.5507574868421052,125,-4,0.047672521052631645,0,0.40612712151652597
8,Chelsea,2015/16,50,0.2593020263157895,2015,75500000.0,6.0,5.0,1.7361111111111112,66,55,87,0.9768151552631578,66,-37,-0.7175131289473682,0,1.0065376097219332
8,Chelsea,2016/17,93,0.8731044105263158,2016,97800000.0,3.0,3.0,1.8545206310679612,11,11,50,0.2593020263157895,55,43,0.6138023842105262,1,1.0489039239553368
8,Chelsea,2017/18,70,0.6612098763157895,2017,168800000.0,5.0,5.0,2.48610037188409,11,11,93,0.8731044105263158,11,-23,-0.2118945342105263,0,1.2487837395359018
